primary_key,listing_id,listing_url,name,host_id,host_url,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month,date,available,price,adjusted_price
1,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,7/31/2023,f,$240.00 ,$240.00 
2,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/1/2023,f,$240.00 ,$240.00 
3,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/2/2023,f,$240.00 ,$240.00 
4,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/3/2023,t,$240.00 ,$240.00 
5,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/4/2023,t,$240.00 ,$240.00 
6,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/5/2023,t,$240.00 ,$240.00 
7,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/6/2023,t,$240.00 ,$240.00 
8,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/7/2023,t,$240.00 ,$240.00 
9,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/8/2023,t,$240.00 ,$240.00 
10,2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3,8/9/2023,t,$240.00 ,$240.00 
