id,listing_url,name,host_id,host_url,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,calculated_host_listings_count,reviews_per_month
2595,https://www.airbnb.com/rooms/2595,Rental unit in New York · ★4.68 · Studio · 1 bed · 1 bath,2845,https://www.airbnb.com/users/show/2845,Jennifer,9/9/2008,f,7,9,40.75356,-73.98559,Entire home/apt,1,,1,$240.00 ,30,1125,t,49,1,0,11/21/2009,6/21/2022,4.68,3,0.3
5121,https://www.airbnb.com/rooms/5121,Rental unit in Brooklyn · ★4.52 · 1 bedroom · 1 bed,7356,https://www.airbnb.com/users/show/7356,Garon,2/3/2009,,2,2,40.68535,-73.95512,Private room,2,,1,$60.00 ,30,730,t,50,0,0,5/28/2009,12/2/2019,4.52,2,0.29
14991,https://www.airbnb.com/rooms/14991,Rental unit in New York · ★4.93 · 1 bedroom · 1 bed · 1 bath,59023,https://www.airbnb.com/users/show/59023,Bianca,12/1/2009,,1,3,40.72207,-73.98976,Private room,1,,1,$120.00 ,5,15,t,22,3,1,3/21/2010,5/14/2023,4.93,1,0.14
5136,https://www.airbnb.com/rooms/5136,Rental unit in Brooklyn · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,7378,https://www.airbnb.com/users/show/7378,Rebecca,2/3/2009,f,1,5,40.66265,-73.99454,Entire home/apt,4,2,2,$276.00 ,21,1125,t,3,1,0,1/2/2014,8/10/2022,5,1,0.03
15341,https://www.airbnb.com/rooms/15341,Condo in New York · ★4.56 · 1 bedroom · 2 beds · 1 bath,60049,https://www.airbnb.com/users/show/60049,Ted,12/4/2009,f,1,3,40.721359,-73.993668,Entire home/apt,3,1,2,$315.00 ,30,1125,t,35,4,1,10/1/2013,5/23/2023,4.56,1,0.3
59709,https://www.airbnb.com/rooms/59709,Rental unit in New York · ★4.77 · 2 bedrooms · 2 beds · 1 bath,186084,https://www.airbnb.com/users/show/186084,Ricardo & Ashlie,7/30/2010,t,1,3,40.7178,-73.9932,Entire home/apt,5,2,2,$325.00 ,7,31,t,69,23,0,5/18/2011,4/28/2023,4.77,1,0.47
60164,https://www.airbnb.com/rooms/60164,Loft in New York · ★4.39 · 3 bedrooms · 3 beds · 1 bath,289653,https://www.airbnb.com/users/show/289653,Harrison,11/17/2010,f,1,4,40.72012,-74.00397,Entire home/apt,6,3,3,$500.00 ,30,365,t,110,2,0,9/15/2011,11/18/2022,4.39,1,0.77
60181,https://www.airbnb.com/rooms/60181,Rental unit in New York · ★4.80 · 1 bedroom · 1 bed · 1 bath,128806,https://www.airbnb.com/users/show/128806,Sue,5/20/2010,f,1,2,40.7253,-73.98028,Entire home/apt,2,1,1,$160.00 ,31,70,t,38,1,0,2/27/2011,8/1/2022,4.8,1,0.25
5178,https://www.airbnb.com/rooms/5178,Rental unit in New York · ★4.26 · 1 bedroom · 1 bed · 1 bath,8967,https://www.airbnb.com/users/show/8967,Shunichi,3/3/2009,,1,1,40.76457,-73.98317,Private room,2,,1,$68.00 ,2,14,t,589,51,2,5/6/2009,5/14/2023,4.26,1,3.44
15385,https://www.airbnb.com/rooms/15385,Rental unit in Brooklyn · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,60252,https://www.airbnb.com/users/show/60252,Cristina,12/5/2009,,1,1,40.71211,-73.96397,Private room,1,,1,$91.00 ,7,30,t,53,4,0,5/16/2010,4/8/2023,4.86,1,0.33
